held_out_year,CAR,NPL_Ratio,CD_Ratio,Cost_of_Funds,Base_Rate,Interest_Spread,ROE_derived
2074/2075,5.020571583739893,1.2356104137149877,1.374557147576436,7.585328335004887,1.0994476467321332,8.648052158091085,2.8029608101914034
2075/2076,8.182967964655251,1.2551778769960626,1.1013661902513745,7.775760228683696,1.001186614969156,8.02644619714563,2.756150281157807
2076/2077,5.892516309457516,6.796913177383599,1.1287101797987962,6.168598008399562,0.703647238110997,7.338586021539899,5.617238001322327
2077/2078,8.23485710354437,2.4865930518674517,1.279272921828049,7.673273252546894,0.865679865871099,7.8803914763698,2.540776318296273
2078/2079,0.932529226233596,1.04144177201803,5.957512481930704,2.777636939299057,0.7049242170548382,5.36446072091798,2.590492766114996
2079/2080,7.376556068938542,1.361856164842518,1.1577219206645066,7.526204018922385,2.4470420499683567,9.668904561531672,2.243742969537683
2080/2081,8.724885071090847,1.5624911246665183,1.322075539244656,5.995947843084959,2.443385191770223,8.155198442154282,2.426411660029339
2081/2082,3.9614387117228334,1.518818808544114,2.0763730981212287,8.263578829498824,1.5772633021578528,7.737982545172662,7.052026112265405
MEAN,6.0407902549228565,2.15736279875416,1.9246986849269687,6.720790931930033,1.3553220158293322,7.852502765365376,3.503724864864404
